name,domain,city,harvest_status,source_url,http_status,page_title,meta_description,diagnostic,next_action
Willow Technology,willowinc.com,Sydney,metadata_captured_needs_human_assessment,https://willowinc.com,200,Willow | Operational AI Platform for Buildings & Infrastructure,"Willow is the Operational AI platform for the built world. Unify building systems data, predict failures, cut energy costs, and optimize facilities. Trusted by DFW Airport, Walmart, and leading universities.",,Assess this primary-source metadata before creating a seed fixture.
Who Gives A Crap,whogivesacrap.org,Melbourne,metadata_captured_needs_human_assessment,https://au.whogivesacrap.org/,200,Toilet paper that builds toilets | Who Gives A Crap AU,Help reduce deforestation with eco-friendly products in the AU. 50% of profits donated to global causes. Join us and shop now!,,Assess this primary-source metadata before creating a seed fixture.
Good Pair Days,goodpairdays.com,Sydney,metadata_captured_needs_human_assessment,https://www.goodpairdays.com/au/,200,Wine Subscriptions Paired To Your Tastes | Good Pair Days,,,Assess this primary-source metadata before creating a seed fixture.
Zero Latency VR,zerolatencyvr.com,Melbourne,metadata_captured_needs_human_assessment,https://zerolatencyvr.com,200,Global Virtual Reality Experience Provider - Zero Latency VR,"Immerse yourself in the world’s best virtual reality at Zero Latency. 80+ venues worldwide. Experience untethered, free-roam VR with no cables.",,Assess this primary-source metadata before creating a seed fixture.
VAPAR,vapar.co,Sydney,metadata_captured_needs_human_assessment,https://www.vapar.co/,200,CCTV Pipe Inspection Software Powered with AI | Vapar Facebook icon X icon LinkedIn icon,VAPAR offers CCTV pipe inspection software. The software is AI integrated for better results and accuracy. Prevent pipe failures and make informed pipe network decisions.,,Assess this primary-source metadata before creating a seed fixture.
CIM Tech,cim.io,Sydney,metadata_captured_needs_human_assessment,https://www.cim.io/,200,Smart Building Platform - CIM,CIM's AI-driven analytics platform helps you run buildings at peak operational efficiency and achieve sustainability goals.,,Assess this primary-source metadata before creating a seed fixture.
InDebted,indebted.co,Sydney,metadata_captured_needs_human_assessment,https://www.indebted.co/,200,InDebted | The collections backbone for leading organisations,InDebted is changing the world of consumer debt recovery for good by creating a better way for businesses to support their customers to get back on track.,,Assess this primary-source metadata before creating a seed fixture.
Koba Insurance,koba.com.au,Melbourne,reachable_but_metadata_unavailable,http://instantfwding.com/?dn=koba.com.au&pid=7PO2UM885,200,,,,Find an authoritative company source before creating a seed fixture.
OpenSolar,opensolar.com,Sydney,metadata_captured_needs_human_assessment,https://www.opensolar.com/,200,OpenSolar | Accelerating Solar Adoption with Free Software,"OpenSolar connects homeowners, solar professionals, and partners with free software to design, sell, and manage fast, accurate solar projects.",,Assess this primary-source metadata before creating a seed fixture.
GivEngineering,givengineering.com,Melbourne,metadata_captured_needs_human_assessment,https://givengineering.com,200,Electronics Development Company in Usa | Electronics Patenting Company | Electronic Design Consultants | Custom Electronic Products USA - Givengineering.com,"We designs, develops, and produces innovative custom electronic products. We are also full-service electronic product design and development consultancy.",,Assess this primary-source metadata before creating a seed fixture.
Lumachain,lumachain.com,Sydney,metadata_captured_needs_human_assessment,https://lumachain.com,200,lumachain.com for sale | Spaceship.com,lumachain.com is for sale on Spaceship. Secure checkout and quick transfer. See all purchase options. No hidden fees.,,Assess this primary-source metadata before creating a seed fixture.
Great Wrap,greatwrap.co,Melbourne,reachable_but_metadata_unavailable,https://greatwrap.co,200,,,,Find an authoritative company source before creating a seed fixture.
Endua,endua.com,Brisbane,metadata_captured_needs_human_assessment,https://www.endua.com/,200,Endua | Innovative Hydrogen Technology,"Australia’s leading hydrogen technology and PEM electrolyser manufacturer for remote, industrial and renewable-powered applications.",,Assess this primary-source metadata before creating a seed fixture.
Splend Tech,splend.com.au,Sydney,metadata_captured_needs_human_assessment,https://www.splend.com/,200,Splend | Car Ownership for Rideshare Drivers in Australia,"Change the way you own your rideshare vehicle for good with Splend. All-Inclusive vehicle packages for your Uber journey, in one easy weekly payment.",,Assess this primary-source metadata before creating a seed fixture.
SmartSat CRC,smartsatcrc.com,Adelaide,metadata_captured_needs_human_assessment,https://smartsatcrc.com,200,SmartSat CRC,A consortium of industry and research organisations that will develop game changing technologies to bootstrap Australia's space industry.,,Assess this primary-source metadata before creating a seed fixture.
Australian Institute for Machine Learning,aiml.adelaide.edu.au,Adelaide,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Monash MedTech,monash.edu,Melbourne,reachable_but_metadata_unavailable,https://monash.edu,403,,,HTTP 403,Find an authoritative company source before creating a seed fixture.
CSL Limited,csl.com,Melbourne,reachable_but_metadata_unavailable,https://csl.com,429,,,HTTP 429,Find an authoritative company source before creating a seed fixture.
Nanosonics,nanosonics.com.au,Sydney,metadata_captured_needs_human_assessment,https://www.nanosonics.com.au/,200,Home | Nanosonics,Home,,Assess this primary-source metadata before creating a seed fixture.
Pro Medicus,promedicus.com.au,Melbourne,metadata_captured_needs_human_assessment,https://www.promed.com.au/,200,Home - Pro Medicus,,,Assess this primary-source metadata before creating a seed fixture.
SomnoMed,somnomed.com.au,Sydney,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Cyclopharm,cyclopharm.com.au,Sydney,metadata_captured_needs_human_assessment,https://www.cyclomedica.com/,200,Home - Cyclomedica,,,Assess this primary-source metadata before creating a seed fixture.
Polynovo,polynovo.com,Melbourne,metadata_captured_needs_human_assessment,https://polynovo.com,200,Revolutionary Synthetic Skin Substitutes | PolyNovo,PolyNovo develops innovative medical devices utilising the patented bioabsorbable polymer technology NovoSorb®.,,Assess this primary-source metadata before creating a seed fixture.
Clinuvel Pharmaceuticals,clinuvel.com,Melbourne,metadata_captured_needs_human_assessment,https://www.clinuvel.com/,200,Home - CLINUVEL,Pioneering photomedicine & PhotoCosmetics,,Assess this primary-source metadata before creating a seed fixture.
Opthea,opthea.com,Melbourne,metadata_captured_needs_human_assessment,https://ceryvyn.com/,200,Ceryvyn — Translating unique science into breakthrough medicines,"Pioneering the first potentially disease-modifying therapy for lymphangioleiomyomatosis (LAM), combining Australian innovation with international scientific leadership.",,Assess this primary-source metadata before creating a seed fixture.
Mayne Pharma Tech,maynepharma.com,Adelaide,metadata_captured_needs_human_assessment,https://www.maynepharma.com/,200,Mayne Pharma - Improving patient access to life-enhancing medications,Mayne Pharma is an ASX-listed specialty pharmaceutical company focused on commercializing branded and generic pharmaceuticals.,,Assess this primary-source metadata before creating a seed fixture.
Starpharma,starpharma.com,Melbourne,reachable_but_metadata_unavailable,https://starpharma.com,429,,,HTTP 429,Find an authoritative company source before creating a seed fixture.
Mesoblast,mesoblast.com,Melbourne,reachable_but_metadata_unavailable,https://mesoblast.com,403,,,HTTP 403,Find an authoritative company source before creating a seed fixture.
Genetic Signatures,geneticsignatures.com,Sydney,metadata_captured_needs_human_assessment,https://geneticsignatures.com/au/,200,Genetic Signatures • Transforming Molecular Diagnostics,Genetic Signatures EasyScreen pathogen detection kits provides hospital and pathology laboratories with the molecular tools to screen for a wide array of infectious pathogens in a rapid high-throughput environment. Information about Genetic Signatures Initial Public Offering (IPO) and listing on the ASX can be found in the company's prospectus.,,Assess this primary-source metadata before creating a seed fixture.
Bionomics,bionomics.com.au,Adelaide,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Anatara Lifesciences,anataralifesciences.com,Melbourne,metadata_captured_needs_human_assessment,https://anataralifesciences.com,200,Home - Anatara Lifesciences,"Evidence-based treatments for human health We are building a pipeline of evidence-based health products, through in-house development and in-licensing / partnership opportunities. Research Anti-Obesity Anatara’s...",,Assess this primary-source metadata before creating a seed fixture.
Dimerix,dimerix.com,Melbourne,metadata_captured_needs_human_assessment,https://dimerix.com,200,Dimerix Limited,"Dimerix is a public a biopharmaceutical company, with a portfolio of drug candidates for inflammatory diseases, including kidney and respiratory diseases.",,Assess this primary-source metadata before creating a seed fixture.
Invetech Group,invetechgroup.com,Melbourne,metadata_captured_needs_human_assessment,https://www.invetechgroup.com/,200,"Invetech: IVD, Cell & Gene Therapy Development & Manufacturing","Invetech's end-to-end design, engineering, and manufacturing solutions propel IVD, cell therapy, and gene therapy innovations forward.",,Assess this primary-source metadata before creating a seed fixture.
Planet Innovation,planetinnovation.com.au,Melbourne,metadata_captured_needs_human_assessment,https://planetinnovation.com/,200,Planet Innovation - Product Development & Contract Manufacturing,"PI offers end-to-end product design, engineering, and manufacturing services to develop and commercialize healthcare products.",,Assess this primary-source metadata before creating a seed fixture.
Grey Innovation,greyinnovation.com,Melbourne,metadata_captured_needs_human_assessment,https://www.greyinnovation.com/,200,Home,Grey Innovation,,Assess this primary-source metadata before creating a seed fixture.
Hydrix Group,hydrix.com,Melbourne,reachable_but_metadata_unavailable,https://www.hydrix.com/,200,,,,Find an authoritative company source before creating a seed fixture.
Compumedics,compumedics.com.au,Melbourne,metadata_captured_needs_human_assessment,https://www.compumedics.com.au/en/,200,Compumedics,,,Assess this primary-source metadata before creating a seed fixture.
CardieX,cardiex.com,Sydney,metadata_captured_needs_human_assessment,https://conneqthealth.com/,200,CONNEQT Health | Arterial Health & Blood Pressure Technology,"Discover CONNEQT Health technology for home and clinical use, with central blood pressure and arterial health insights powered by SphygmoCor.",,Assess this primary-source metadata before creating a seed fixture.
