domain,name,ambiguous_input_text,has_accepted_location,has_active_location_evidence,cleanup_disposition
openpay.com.au,Openpay Tech,"St Kilda Road, Melbourne VIC 3004, Australia",false,false,no_active_location_evidence
opensolar.com,OpenSolar,"Young Street, Sydney NSW 2000, Australia",true,false,superseded_by_accepted_location
opmantek.com,Opmantek Software,"Surfers Paradise Boulevard, Surfers Paradise QLD 4217, Australia",true,true,superseded_by_accepted_location
opthea.com,Opthea,"Toorak Road, South Yarra VIC 3141, Australia",true,true,superseded_by_accepted_location
outpostcentral.com,Outpost Central,"Bolton Street, Newcastle NSW 2300, Australia",true,true,superseded_by_accepted_location
pairtree.com.au,Pairtree,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
partly.com,Partly,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
pathzero.com,Pathzero,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
pavefinance.com.au,Pave Finance,"Queen Street, Brisbane QLD 4000, Australia",false,false,no_active_location_evidence
paxon.com.au,Paxon Group,"Queen Street, Brisbane QLD 4000, Australia",false,false,no_active_location_evidence
paydock.com,Paydock,"Queen Street, Brisbane QLD 4000, Australia",false,false,no_active_location_evidence
pepperstone.com,Pepperstone,"Collins Street, Melbourne VIC 3000, Australia",true,true,superseded_by_accepted_location
personifycare.com,Personify Care,"North Terrace, Adelaide SA 5000, Australia",false,false,no_active_location_evidence
picturewealth.com.au,PictureWealth,"Queen Street, Brisbane QLD 4000, Australia",true,true,superseded_by_accepted_location
pilbaraminingtech.com.au,Pilbara Autonomous Mining,"Sharpe Avenue, Karratha WA 6714, Australia",false,false,no_active_location_evidence
planetinnovation.com.au,Planet Innovation,"Nelson Road, Box Hill VIC 3128, Australia",true,true,superseded_by_accepted_location
pnyx.com.au,Pnyx,"London Circuit, Canberra City ACT 2601, Australia",true,true,superseded_by_accepted_location
pocketed.com.au,Pocketed,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
pointerra.com,Pointerra,"Adelaide Terrace, East Perth WA 6004, Australia",false,false,no_active_location_evidence
polynovo.com,Polynovo,"Plummer Street, Port Melbourne VIC 3207, Australia",false,false,no_active_location_evidence
portaugustasolar.com.au,Port Augusta Solar Thermal,"Highway One, Port Augusta SA 5700, Australia",false,false,no_active_location_evidence
porthedlandmaritime.com.au,Port Hedland Maritime Radar,"The Esplanade, Port Hedland WA 6721, Australia",false,false,no_active_location_evidence
portlincolnmarine.com.au,Port Lincoln Marine Tech,"Tasman Terrace, Port Lincoln SA 5606, Australia",false,false,no_active_location_evidence
pozi.com,Pozi,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
precisionagriculture.com.au,Precision Agriculture Australia,"Peisley Street, Orange NSW 2800, Australia",false,false,no_active_location_evidence
precisionpastures.com.au,Precision Pastures,"Beardy Street, Armidale NSW 2350, Australia",true,true,superseded_by_accepted_location
preezie.com,Preezie,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
prezzee.com,Prezzee,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
procreate.com,Savage Interactive,"Elizabeth Street, North Hobart TAS 7000, Australia",false,false,no_active_location_evidence
procurious.com,Procurious,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
promedicus.com.au,Pro Medicus,"Swan Street, Richmond VIC 3121, Australia",false,false,no_active_location_evidence
pronavigator.ai,ProNavigator,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
proptrack.com.au,PropTrack,"Collins Street, Melbourne VIC 3000, Australia",true,true,superseded_by_accepted_location
proqual.com.au,Proqual,"Queen Street, Brisbane QLD 4000, Australia",false,false,no_active_location_evidence
quantium.com.au,Quantium,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
quantxlabs.com,QuantX Labs,"North Terrace, Adelaide SA 5000, Australia",false,false,no_active_location_evidence
radiumcapital.com.au,Radium Capital,"George Street, Sydney NSW 2000, Australia",true,true,superseded_by_accepted_location
rayner.com.au,Rayner,"Elizabeth Street, Hobart TAS 7000, Australia",true,true,superseded_by_accepted_location
realtimenetworks.com.au,RealTime Networks,"St Georges Terrace, Perth WA 6000, Australia",false,false,no_active_location_evidence
redlandmarine.com.au,Redland Marine BioSensors,"Middle Street, Cleveland QLD 4163, Australia",false,false,no_active_location_evidence
resmed.com,ResMed Digital,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
rezdy.com,Rezdy,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
rezeco.com.au,Rezeco,"King William Street, Adelaide SA 5000, Australia",false,false,no_active_location_evidence
rezola.com.au,Rezola,"King William Street, Adelaide SA 5000, Australia",false,false,no_active_location_evidence
riverlandirrigation.com.au,Riverland Irrigation IoT,"Ral Ral Avenue, Renmark SA 5341, Australia",false,false,no_active_location_evidence
rmeglobal.com,Russell Mineral Equipment Tech,"Industrial Avenue, Toowoomba QLD 4350, Australia",false,false,no_active_location_evidence
robinahealthtech.com.au,Robina Healthtech Solutions,"Robina Town Centre Drive, Robina QLD 4226, Australia",false,false,no_active_location_evidence
romapastoral.com.au,Roma Pastoral Tech,"McDowall Street, Roma QLD 4455, Australia",false,false,no_active_location_evidence
rosterfy.com,Rosterfy,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
roxbydownstech.com.au,Roxby Downs Remote Mining,"Richardson Place, Roxby Downs SA 5725, Australia",false,false,no_active_location_evidence
saab.com,Saab Australia Digital,"Third Avenue, Mawson Lakes SA 5095, Australia",false,false,no_active_location_evidence
samsara.com,Samsara Networks AU,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
scalapay.com,Scalapay,"Squires Way, North Wollongong NSW 2500, Australia",false,false,no_active_location_evidence
scancam.com.au,Scancam,"Queen Street, Brisbane QLD 4000, Australia",true,true,superseded_by_accepted_location
scenegroup.com.au,Scene Group Tech,"Pakenham Street, Fremantle WA 6160, Australia",false,false,no_active_location_evidence
sealite.com.au,Sealite,"Mann Street, Gosford NSW 2250, Australia",false,false,no_active_location_evidence
seerdata.com.au,Seer Data,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
seqta.com.au,SEQTA Software,"Grand Boulevard, Joondalup WA 6027, Australia",false,false,no_active_location_evidence
sherlok.com.au,Sherlok,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
sievertlarsen.com,Sievert Larsen,"St Georges Terrace, Perth WA 6000, Australia",false,false,no_active_location_evidence
silentiumdefence.com.au,Silentium Defence,"Mawson Lakes Boulevard, Mawson Lakes SA 5095, Australia",false,false,no_active_location_evidence
skoolbag.com.au,Skoolbag,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
skyfii.com,Skyfii,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
smartcitiesiot.com.au,Smart Cities IoT Australia,"Crown Street, Wollongong NSW 2500, Australia",false,false,no_active_location_evidence
smartfarmune.com.au,SMART Farm UNE,"Madgwick Drive, Armidale NSW 2350, Australia",false,false,no_active_location_evidence
smartsatcrc.com,SmartSat CRC,"Frome Road, Adelaide SA 5000, Australia",false,false,no_active_location_evidence
snapsend.com.au,SnapSend,"Queen Street, Brisbane QLD 4000, Australia",false,false,no_active_location_evidence
sol-secure.com.au,Sol-Secure,"Clarence Street, Port Macquarie NSW 2444, Australia",false,false,no_active_location_evidence
somnomed.com.au,SomnoMed,"Kent Street, Sydney NSW 2000, Australia",true,false,superseded_by_accepted_location
sonder.io,Sonder,"Elizabeth Street, Sydney NSW 2000, Australia",true,true,superseded_by_accepted_location
southerncrosscomputing.com.au,Southern Cross Computing,"Brisbane Street, Launceston TAS 7250, Australia",false,false,no_active_location_evidence
southernriverinaiot.com.au,Southern Riverina IoT,"Cressy Street, Deniliquin NSW 2710, Australia",false,false,no_active_location_evidence
southwestagtech.com.au,South West Agtech Bunbury,"Victoria Street, Bunbury WA 6230, Australia",false,false,no_active_location_evidence
southwestiot.com.au,South West IoT,"Liebig Street, Warrnambool VIC 3280, Australia",false,false,no_active_location_evidence
spendless.com.au,Spendless,"Queen Street, Brisbane QLD 4000, Australia",false,false,no_active_location_evidence
splend.com.au,Splend Tech,"Bourke Street, Alexandria NSW 2015, Australia",false,false,no_active_location_evidence
spookfish.com,Spookfish Geospatial,"St Georges Terrace, Perth WA 6000, Australia",false,false,no_active_location_evidence
sportsbet.com.au,Sportsbet Tech,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
spriggy.com.au,Spriggy,"George Street, Sydney NSW 2000, Australia",true,true,superseded_by_accepted_location
springday.com.au,Springday,"George Street, Sydney NSW 2000, Australia",true,true,superseded_by_accepted_location
sproutx.com.au,SproutX Regional Tech,"Dean Street, Albury NSW 2640, Australia",true,true,superseded_by_accepted_location
stanthorpeappletech.com.au,Stanthorpe Apple Tech,"Maryland Street, Stanthorpe QLD 4380, Australia",false,false,no_active_location_evidence
starofthesouth.com.au,Star of the South Telemetry,"Church Street, Traralgon VIC 3844, Australia",false,false,no_active_location_evidence
starpharma.com,Starpharma,"Victoria Street, Abbotsford VIC 3067, Australia",false,false,no_active_location_evidence
stax.io,Stax,"George Street, Sydney NSW 2000, Australia",true,true,superseded_by_accepted_location
steller.com.au,Steller,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
stileeducation.com,Stile Education,"Collins Street, Melbourne VIC 3000, Australia",true,true,superseded_by_accepted_location
strikingly.com,Strikingly,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
subiacocloud.com.au,Subiaco Cloud Technologies,"Rokeby Road, Subiaco WA 6008, Australia",false,false,no_active_location_evidence
subzerorobotics.com.au,Subzero Robotics,"Harbour Drive, Coffs Harbour NSW 2450, Australia",false,false,no_active_location_evidence
sunitafe.edu.au,SuniTAFE Smart Farm,"Benetook Avenue, Mildura VIC 3500, Australia",true,true,superseded_by_accepted_location
sunraysiasolar.com.au,Sunraysia Solar Telemetry,"Deakin Avenue, Mildura VIC 3500, Australia",false,false,no_active_location_evidence
taggle.com.au,Taggle Systems,"King William Street, Adelaide SA 5000, Australia",true,true,superseded_by_accepted_location
telnyx.com,Telnyx,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
tether.io,Tether,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
thindata.com.au,Thindata,"King William Street, Adelaide SA 5000, Australia",false,false,no_active_location_evidence
tideways.com.au,Tideways,"Smith Street, Darwin NT 0800, Australia",false,false,no_active_location_evidence
tillpoint.com,Tillpoint,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
tillr.io,Tillr,"Queen Street, Brisbane QLD 4000, Australia",false,false,no_active_location_evidence
timelio.com.au,Timelio,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
tonsleycleanenergy.com.au,Tonsley Clean Energy Tech,"Tonsley Boulevard, Tonsley SA 5042, Australia",false,false,no_active_location_evidence
townsvilleporttech.com.au,Townsville Port Telemetry,"Benwell Road, South Townsville QLD 4810, Australia",false,false,no_active_location_evidence
trace.io,Trace Together AU,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
tractorventures.com,Tractor Ventures,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
tradesquare.com.au,TradeSquare,"William Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
ubercarshare.com,Uber Carshare,"Harris Street, Ultimo NSW 2007, Australia",false,false,no_active_location_evidence
updraft.com.au,Updraft,"Queen Street, Brisbane QLD 4000, Australia",false,false,no_active_location_evidence
vantage-dc.com,Vantage Data Centres,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
vapar.co,VAPAR,"George Street, Sydney NSW 2000, Australia",true,true,superseded_by_accepted_location
varsitylakescloud.com.au,Varsity Lakes Cloud Lab,"Varsity Parade, Varsity Lakes QLD 4227, Australia",false,false,no_active_location_evidence
venly.io,Venly,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
venngroup.com,Venn Group AU,"Queen Street, Brisbane QLD 4000, Australia",false,false,no_active_location_evidence
verida.io,Verida,"Queen Street, Brisbane QLD 4000, Australia",false,false,no_active_location_evidence
veridapt.com,Veridapt,"St Georges Terrace, Perth WA 6000, Australia",true,true,superseded_by_accepted_location
versarien.com,Versarien AU,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
versent.com.au,Versent,"Bourke Street, Melbourne VIC 3000, Australia",true,true,superseded_by_accepted_location
verto.com.au,Verto,"Elizabeth Street, Hobart TAS 7000, Australia",true,true,superseded_by_accepted_location
victorharborsensors.com.au,Victor Harbor Coastal Sensors,"Ocean Street, Victor Harbor SA 5211, Australia",false,false,no_active_location_evidence
violetx.com.au,VioletX,"St Georges Terrace, Perth WA 6000, Australia",false,false,no_active_location_evidence
vixtechnology.com,Vix Technology,"Collins Street, Melbourne VIC 3000, Australia",true,true,superseded_by_accepted_location
vocus.com.au,Vocus Group,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
weel.com.au,Weel,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
weipamaritime.com.au,Weipa Maritime Logistics,"Commercial Avenue, Weipa QLD 4874, Australia",false,false,no_active_location_evidence
wettropicsbiosensors.com.au,Wet Tropics BioSensors,"Abbott Street, Cairns QLD 4870, Australia",false,false,no_active_location_evidence
whogivesacrap.org,Who Gives A Crap,"Smith Street, Collingwood VIC 3066, Australia",false,false,no_active_location_evidence
whyallagreensteel.com.au,Whyalla Green Steel Tech,"Iron Knob Road, Whyalla SA 5600, Australia",false,false,no_active_location_evidence
willowinc.com,Willow Technology,"Bond Street, Sydney NSW 2000, Australia",true,false,superseded_by_accepted_location
xplicit.com.au,Xplicit,"Flinders Street, Townsville QLD 4810, Australia",false,false,no_active_location_evidence
xref.com,Xref,"George Street, Sydney NSW 2000, Australia",true,true,superseded_by_accepted_location
yarno.com.au,Yarno,"Collins Street, Melbourne VIC 3000, Australia",true,true,superseded_by_accepted_location
yarravalleycloud.com.au,Yarra Valley Cloud Systems,"Main Street, Lilydale VIC 3140, Australia",false,false,no_active_location_evidence
zeroco.com.au,Zero Co,"Hastings Street, Noosa Heads QLD 4567, Australia",false,false,no_active_location_evidence
zerolatencyvr.com,Zero Latency VR,"North Melbourne, North Melbourne VIC 3051, Australia",false,false,no_active_location_evidence
zutec.com,Zutec AU,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
